"Number","Microseconds"
100,0
1100,6
2100,12
3100,17
4100,23
5100,30
6100,36
7100,38
8100,45
9100,50
10100,53
11100,54
12100,58
13100,67
14100,64
15100,64
16100,76
17100,82
18100,80
19100,80
20100,91
21100,90
22100,93
23100,86
24100,81
25100,100
26100,114
27100,103
28100,119
29100,124
30100,111
31100,137
32100,134
33100,116
34100,113
35100,94
36100,122
37100,151
38100,132
39100,104
40100,126
41100,131
42100,137
43100,165
44100,179
45100,235
46100,266
47100,290
48100,299
49100,281
50100,331
51100,298
52100,353
53100,315
54100,286
55100,240
56100,317
57100,265
58100,249
59100,246
60100,261
61100,441
62100,366
63100,408
64100,375
65100,397
66100,396
67100,398
68100,444
69100,403
70100,479
71100,432
72100,443
73100,478
74100,425
75100,479
76100,531
77100,434
78100,393
79100,500
80100,455
81100,547
82100,540
83100,494
84100,557
85100,575
86100,541
87100,535
88100,548
89100,584
90100,575
91100,562
92100,644
93100,677
94100,520
95100,402
96100,593
97100,616
98100,505
99100,436
100100,613
101100,678
102100,627
103100,525
104100,461
105100,555
106100,691
107100,643
108100,675
109100,678
110100,698
111100,706
112100,691
113100,692
114100,687
115100,708
116100,703
117100,702
118100,631
119100,633
120100,727
121100,743
122100,741
123100,647
124100,470
125100,466
126100,739
127100,708
128100,638
129100,756
130100,757
131100,796
132100,738
133100,701
134100,777
135100,767
136100,786
137100,846
138100,843
139100,749
140100,788
141100,821
142100,880
143100,917
144100,885
145100,957
146100,908
147100,891
148100,872
149100,922
150100,902
151100,988
152100,831
153100,659
154100,560
155100,807
156100,943
157100,937
158100,971
159100,981
160100,1006
161100,955
162100,1035
163100,849
164100,1009
165100,982
166100,1129
167100,1025
168100,1013
169100,1046
170100,995
171100,1018
172100,1049
173100,1022
174100,1105
175100,1075
176100,1118
177100,1257
178100,1258
179100,1105
180100,1151
181100,1074
182100,1172
183100,1200
184100,1055
185100,1230
186100,1265
187100,1184
188100,1216
189100,1257
190100,1286
191100,412
192100,728
193100,1128
194100,1270
195100,1209
196100,1293
197100,1193
198100,1207
199100,1165


