Number,Microseconds
100,53
1100,5659
2100,9364
3100,18769
4100,33311
5100,50764
6100,72234
7100,96514
8100,128983
9100,162627
10100,202498
11100,389102
12100,971602
13100,1004817
14100,385652
15100,446013
16100,501181
17100,565677
18100,653711
19100,2334927
20100,1510150
21100,2153527
22100,2952761
23100,1439943
24100,1126454
25100,1209532
26100,1315998
27100,1421754
28100,2964351
29100,3895471
30100,2163185
31100,1917164
32100,2012653
33100,2169081
34100,3251480
35100,8189259
36100,4024829
37100,5510909
38100,7816094
39100,9684597
40100,9352317


