"Number","Microseconds"
100,0  
600,1  
1100,4 
1600,6 
2100,5 
2600,7 
3100,7 
3600,11
4100,10
4600,13
5100,16
5600,22
6100,21
6600,17
7100,15
7600,22
8100,20
8600,13
9100,19
9600,20
10100,25
10600,15
11100,21
11600,25
12100,18
12600,26
13100,29
13600,22
14100,20
14600,34
15100,32
15600,37
16100,37
16600,53
17100,56
17600,56
18100,62
18600,60
19100,60
19600,58
20100,70
20600,65
21100,62
21600,62
22100,66
22600,68
23100,74
23600,72
24100,87
24600,73
25100,76
25600,94
26100,83
26600,73
27100,89
27600,78
28100,89
28600,83
29100,85
29600,98
30100,94
30600,95
31100,110
31600,102
32100,107
32600,104
33100,108
33600,106
34100,109
34600,107
35100,116
35600,116
36100,118
36600,120
37100,113
37600,95
38100,82
38600,77
39100,71
39600,70
40100,53
40600,55
41100,43
41600,55
42100,50
42600,55
43100,65
43600,81
44100,98
44600,104
45100,88
45600,83
46100,109
46600,95
47100,88
47600,81
48100,67
48600,52
49100,58
49600,60
50100,58
50600,73
51100,96
51600,115
52100,109
52600,79
53100,112
53600,169
54100,191
54600,165
55100,131
55600,95
56100,104
56600,68
57100,75
57600,67
58100,72
58600,116
59100,192
59600,159
60100,134
60600,156
61100,164
61600,187
62100,177
62600,200
63100,191
63600,155
64100,206
64600,181
65100,139
65600,135
66100,79
66600,73
67100,96
67600,80
68100,106
68600,88
69100,109
69600,107
70100,78
70600,88
71100,82
71600,89
72100,98
72600,98
73100,92
73600,90
74100,92
74600,86
75100,94
75600,76
76100,88
76600,97
77100,91
77600,117
78100,112
78600,100
79100,107
79600,85
80100,98
80600,79
81100,98
81600,98
82100,96
82600,112
83100,96
83600,109
84100,97
84600,96
85100,108
85600,103
86100,114
86600,106
87100,97
87600,103
88100,94
88600,108
89100,123
89600,99
90100,121
90600,107
91100,126
91600,153
92100,134
92600,144
93100,107
93600,110
94100,123
94600,104
95100,132
95600,126
96100,124
96600,111
97100,118
97600,118
98100,130
98600,123
99100,109
99600,118


