"Number","Microseconds"
100,0
600,1
1100,3
1600,5
2100,6
2600,8
3100,8
3600,12
4100,11
4600,14
5100,18
5600,18
6100,18
6600,20
7100,32
7600,25
8100,21
8600,19
9100,20
9600,21
10100,19
10600,19
11100,23
11600,20
12100,17
12600,16
13100,34
13600,31
14100,22
14600,28
15100,26
15600,20
16100,26
16600,37
17100,48
17600,47
18100,46
18600,63
19100,40
19600,34
20100,34
20600,40
21100,46
21600,43
22100,65
22600,65
23100,65
23600,65
24100,69
24600,58
25100,43
25600,57
26100,48
26600,51
27100,53
27600,39
28100,42
28600,50
29100,42
29600,72
30100,76
30600,78
31100,92
31600,105
32100,114
32600,107
33100,111
33600,103
34100,112
34600,106
35100,130
35600,133
36100,126
36600,119
37100,126
37600,134
38100,124
38600,121
39100,132
39600,126
40100,94
40600,72
41100,64
41600,71
42100,58
42600,56
43100,94
43600,87
44100,67
44600,55
45100,59
45600,54
46100,97
46600,63
47100,76
47600,81
48100,62
48600,88
49100,96
49600,118
50100,133
50600,105
51100,100
51600,111
52100,96
52600,69
53100,67
53600,73
54100,76
54600,64
55100,78
55600,72
56100,144
56600,143
57100,132
57600,121
58100,95
58600,96
59100,124
59600,147
60100,181
60600,215
61100,164
61600,139
62100,179
62600,216
63100,203
63600,183
64100,220
64600,210
65100,208
65600,222
66100,185
66600,180
67100,151
67600,127
68100,176
68600,199
69100,225
69600,219
70100,162
70600,165
71100,181
71600,261
72100,235
72600,212
73100,248
73600,237
74100,242
74600,242
75100,249
75600,222
76100,145
76600,125
77100,139
77600,175
78100,186
78600,138
79100,109
79600,80
80100,96
80600,96
81100,107
81600,149
82100,163
82600,174
83100,120
83600,108
84100,107
84600,124
85100,114
85600,132
86100,113
86600,102
87100,113
87600,110
88100,111
88600,105
89100,156
89600,131
90100,123
90600,105
91100,115
91600,111
92100,115
92600,119
93100,121
93600,157
94100,138
94600,98
95100,171
95600,144
96100,107
96600,146
97100,125
97600,129
98100,124
98600,112
99100,115
99600,137


