"Number","Microseconds"
100,0
1100,1
2100,3
3100,5
4100,8
5100,13
6100,11
7100,15
8100,14
9100,15
10100,17
11100,23
12100,21
13100,24
14100,23
15100,31
16100,38
17100,32
18100,38
19100,42
20100,39
21100,26
22100,38
23100,33
24100,35
25100,37
26100,47
27100,35
28100,56
29100,52
30100,48
31100,68
32100,58
33100,67
34100,73
35100,53
36100,72
37100,70
38100,67
39100,69
40100,73
41100,86
42100,73
43100,72
44100,71
45100,54
46100,53
47100,59
48100,59
49100,62
50100,56
51100,72
52100,61
53100,59
54100,76
55100,67
56100,68
57100,71
58100,72
59100,70
60100,76
61100,112
62100,137
63100,125
64100,156
65100,159
66100,199
67100,162
68100,125
69100,100
70100,94
71100,173
72100,230
73100,200
74100,212
75100,145
76100,142
77100,95
78100,95
79100,110
80100,100
81100,106
82100,107
83100,108
84100,96
85100,106
86100,107
87100,99
88100,108
89100,106
90100,101
91100,193
92100,293
93100,220
94100,279
95100,290
96100,245
97100,239
98100,204
99100,277
100100,200
101100,252
102100,275
103100,247
104100,231
105100,213
106100,184
107100,301
108100,343
109100,307
110100,289
111100,171
112100,227
113100,197
114100,144
115100,137
116100,163
117100,242
118100,148
119100,124
120100,140
121100,146
122100,153
123100,224
124100,259
125100,286
126100,184
127100,156
128100,216
129100,210
130100,190
131100,267
132100,341
133100,351
134100,363
135100,363
136100,322
137100,251
138100,239
139100,281
140100,347
141100,434
142100,297
143100,393
144100,459
145100,228
146100,169
147100,174
148100,179
149100,189
150100,262
151100,328
152100,250
153100,279
154100,286
155100,192
156100,199
157100,202
158100,228
159100,191
160100,218
161100,226
162100,219
163100,248
164100,332
165100,463
166100,510
167100,488
168100,392
169100,392
170100,497
171100,465
172100,474
173100,220
174100,335
175100,464
176100,343
177100,303
178100,388
179100,453
180100,494
181100,424
182100,314
183100,226
184100,324
185100,507
186100,451
187100,551
188100,380
189100,401
190100,347
191100,456
192100,287
193100,236
194100,355
195100,496
196100,333
197100,266
198100,401
199100,344


