"Number","Microseconds"
100,0
600,1
1100,2
1600,5
2100,6
2600,9
3100,9
3600,13
4100,12
4600,13
5100,12
5600,13
6100,12
6600,14
7100,10
7600,18
8100,21
8600,13
9100,12
9600,10
10100,12
10600,15
11100,19
11600,17
12100,16
12600,14
13100,19
13600,29
14100,23
14600,18
15100,16
15600,22
16100,29
16600,23
17100,22
17600,18
18100,24
18600,34
19100,23
19600,22
20100,26
20600,34
21100,25
21600,25
22100,38
22600,30
23100,24
23600,32
24100,40
24600,31
25100,28
25600,38
26100,37
26600,33
27100,36
27600,52
28100,54
28600,48
29100,52
29600,60
30100,64
30600,58
31100,62
31600,69
32100,101
32600,83
33100,73
33600,80
34100,100
34600,110
35100,131
35600,116
36100,110
36600,81
37100,79
37600,64
38100,69
38600,60
39100,83
39600,115
40100,143
40600,115
41100,105
41600,111
42100,77
42600,79
43100,86
43600,61
44100,80
44600,142
45100,103
45600,91
46100,93
46600,81
47100,58
47600,58
48100,58
48600,49
49100,70
49600,55
50100,75
50600,58
51100,59
51600,83
52100,84
52600,110
53100,142
53600,193
54100,196
54600,172
55100,174
55600,139
56100,153
56600,113
57100,128
57600,168
58100,138
58600,193
59100,182
59600,157
60100,188
60600,232
61100,192
61600,178
62100,183
62600,202
63100,216
63600,173
64100,203
64600,150
65100,219
65600,208
66100,196
66600,221
67100,220
67600,158
68100,182
68600,211
69100,229
69600,290
70100,202
70600,253
71100,224
71600,272
72100,269
72600,192
73100,161
73600,221
74100,251
74600,236
75100,256
75600,223
76100,237
76600,253
77100,236
77600,238
78100,257
78600,246
79100,269
79600,213
80100,254
80600,222
81100,185
81600,109
82100,143
82600,154
83100,131
83600,197
84100,259
84600,267
85100,273
85600,255
86100,279
86600,262
87100,261
87600,278
88100,268
88600,270
89100,309
89600,283
90100,309
90600,316
91100,302
91600,299
92100,285
92600,301
93100,214
93600,251
94100,311
94600,266
95100,344
95600,286
96100,294
96600,220
97100,219
97600,273
98100,332
98600,313
99100,320
99600,327


