"Number","Microseconds"
1,3159000
2,3534100
3,3213400
4,3060400
5,2581600
6,2557200
7,2841300
8,2747800 
9,3264300 
10,2936700
11,2890100
12,2903700
13,2952700
14,2801800
15,2546700
16,2584300
17,2842700
18,3277900
19,2901300
20,2690200
21,2701800
22,2976200
23,2987100
24,2666400
25,2725000
26,3031300
27,2981400
28,2885700
29,2802800
30,2834800
31,3077800
32,2982200
33,2670700
34,2892800
35,3016200
36,3159000
37,3117100
38,2958400
39,2899100
40,3308600
41,3420900
42,2947700
43,3042500
44,3040700
45,3147600
46,2736600
47,2999700
48,3222500
49,2841100
50,3604800
51,3409800
52,3644900
53,3554500
54,3401700
55,3565600
56,3762000
57,3264900
58,3282100
59,3679700
60,3115500
61,3550800
62,3013300
63,2995700
64,3374900
65,3020600
66,3051100
67,3031000
68,3096400
69,2967800
70,2967900
71,3355700
72,3446000
73,3154500
74,3046800
75,3689000
76,3684700
77,2660700
78,2967100
79,3256400
80,2909800
81,2970000
82,2708200
83,3120700
84,3039100
85,3012400
86,2954600
87,2964600
88,4098200
89,3418600
90,3013300
91,3080200
92,3307100
93,3210100
94,2678200
95,3036500
96,2911300
97,3142400
98,3645100
99,3260400
100,3310500
101,3434400
102,2981700
103,2981700
104,3242900
105,3472000
106,2987300
107,3024800
108,3229600
109,2910700
110,2739400
111,3035700
112,3367700
113,3339600
114,2958400
115,3062000
116,3469900
117,3277700
118,2989000
119,3509400
120,3517500
121,3758300
122,2952900
123,2920400
124,2901800
125,3144600
126,2943900
127,3071600
128,3075000
129,2808200
130,3005700
131,2956600
132,3182800
133,2970200
134,3046200
135,3485100
136,3272700
137,2749900
138,2986000
139,3166500
140,2986200
141,2663100
142,3170100
143,3412100
144,2740400
145,3304500
146,3117400
147,3176400
148,3015200
149,3390500
150,3024200
151,3220700
152,2893200
153,3247200
154,3175800
155,2887800
156,2947600
157,3641400
158,3201800
159,2935100
160,2966100
161,3487400
162,3214800
163,2961000
164,2978700
165,3323400
166,3282000
167,2712000
168,2780200
169,2972600
170,3195400
171,2958100
172,2992200
173,3262600
174,3102000
175,3007300
176,3478200
177,3048100
178,3055900
179,3055500
180,2951700
181,3119400
182,3653900
183,3406100
184,2963100
185,3193100
186,3349400
187,3174400
188,2956000
189,3063000
190,3172200
191,3551900
192,2664600
193,2877500
194,3055900
195,3272800
196,2973500
197,2874900
198,3374400
199,3058900
