"Number","Microseconds"
10,0   
510,2  
1010,11
1510,24
2010,49
2510,63
3010,95
3510,169
4010,185
4510,235
5010,256
5510,332
6010,388
6510,585
7010,613
7510,711
8010,771
8510,849
9010,883
9510,907
10010,993
10510,1122
11010,1191
11510,1287
12010,1351
12510,1980
13010,2002
13510,2130
14010,2230
14510,2334
15010,2444
15510,2669
16010,2736
16510,2970
17010,3080
17510,3241
18010,3438
18510,3570
19010,3676
19510,3707
20010,3893
20510,4482
21010,4633
21510,4571
22010,4755
22510,4898
23010,5101
23510,5291
24010,5415
24510,5441
25010,7506
25510,7681
26010,7881
26510,8285
27010,8270
27510,8526
28010,8759
28510,8980
29010,9252
29510,9511
30010,9705
30510,9999
31010,10415
31510,10704
32010,10807
32510,11213
33010,11761
33510,11991
34010,12254
34510,12487
35010,12710
35510,12895
36010,13018
36510,13540
37010,13998
37510,14284
38010,14458
38510,14564
39010,14986
39510,15035
40010,15502
40510,15503
41010,17190
41510,17650
42010,17716
42510,17876
43010,18545
43510,18865
44010,19263
44510,18927
45010,19402
45510,20047
46010,20019
46510,20470
47010,20725
47510,20963
48010,21130
48510,21367
49010,21989
