"Number","Microseconds"
10,0   
510,6  
1010,22
1510,25
2010,45
2510,79
3010,126
3510,149
4010,203
4510,278
5010,311
5510,403
6010,409
6510,488
7010,551
7510,627
8010,746
8510,823
9010,1119
9510,1113
10010,1089
10510,1190
11010,1324
11510,1497
12010,1549
12510,1747
13010,1826
13510,1968
14010,2112
14510,2267
15010,2428
15510,2577
16010,2741
16510,2939
17010,3115
17510,3409
18010,3473
18510,3709
19010,3820
19510,4068
20010,4297
20510,4531
21010,4776
21510,4984
22010,5164
22510,5415
23010,5890
23510,5886
24010,6116
24510,6614
25010,6700
25510,6962
26010,7251
26510,7614
27010,7741
27510,8101
28010,8365
28510,8856
29010,8960
29510,9375
30010,9778
30510,9990
31010,10221
31510,10568
32010,11035
32510,11536
33010,11585
33510,11992
34010,12467
34510,12962
35010,13002
35510,13383
36010,13763
36510,14413
37010,14609
37510,15019
38010,15759
38510,15762
39010,16176
39510,16625
40010,17185
40510,18133
41010,18162
41510,18395
42010,18673
42510,19200
43010,19727
43510,20249
44010,20637
44510,21132
45010,22103
45510,22184
46010,22662
46510,23027
47010,23574
47510,24139
48010,24883
48510,25157
49010,25640
49510,25978
50010,26744
50510,27003
51010,27923
51510,29440
