"Number","Microseconds"
10,154   
510,263  
1010,933 
1510,1973
2010,3551
2510,5661
3010,9048
3510,11506
4010,14256
4510,18431
5010,22508
5510,29175
6010,32539
6510,38545
7010,48575
7510,53358
8010,58803
8510,66651
9010,73728
9510,82316
10010,89181
10510,99017
11010,107650
11510,117436
12010,130281
12510,138030
13010,150583
13510,165144
14010,176632
14510,185879
15010,202104
15510,210755
16010,228636
16510,239741
17010,258405
17510,268536
18010,287998
18510,300844
19010,316092
19510,334136
20010,352904
20510,375135
21010,386389
21510,410005
22010,446653
22510,446439
23010,458288
23510,491946
24010,528398
24510,541618
